train/n_updates,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed
768179,-17.150488640000013,9,68680,496,0.20371049642562866,195.29396057128906,-0.10216876864433289,138.04,333.1418151855469,0.0003,7505
768917,0.31896480999998517,9,69418,500,0.2031562477350235,187.36122131347656,-0.10510151088237762,140.15,314.4677734375,0.0003,7584
769451,31.619427419999997,9,69952,504,0.20253320038318634,255.39724731445312,-0.20369383692741394,142.23,377.9118347167969,0.0003,7643
769947,27.40425508999999,9,70448,508,0.2064303606748581,114.53485107421875,0.44952839612960815,143.65,422.666259765625,0.0003,7697
770653,3.593839499999982,9,71154,512,0.20864693820476532,221.5504913330078,-0.3150655925273895,145.63,259.26678466796875,0.0003,7773
771437,5.430515069999985,9,71938,516,0.2050209641456604,183.01321411132812,0.051671892404556274,150.3,286.7720947265625,0.0003,7857
772079,18.035540660000006,9,72580,520,0.2032366394996643,223.80899047851562,-0.3649154007434845,152.26,282.0690612792969,0.0003,7926
772604,7.850371070000015,9,73105,524,0.21105556190013885,210.74179077148438,-0.00997965782880783,148.26,325.2615966796875,0.0003,7984
773060,6.084584349999992,9,73561,528,0.21156181395053864,137.12527465820312,0.4766491949558258,147.61,1029.593017578125,0.0003,8034
773440,-3.1409111300000143,9,73941,532,0.2073955535888672,172.7242431640625,0.4457576274871826,146.29,667.468994140625,0.0003,8078
774067,22.27581167999998,9,74568,536,0.20504379272460938,150.8488311767578,0.16482651233673096,149.24,334.69512939453125,0.0003,8145
774556,32.427789759999996,9,75057,540,0.20827092230319977,120.50209045410156,0.7892507314682007,145.97,315.0625915527344,0.0003,8199
774876,57.49836929,9,75377,544,0.20696985721588135,194.20481872558594,-0.0891377329826355,140.15,359.8280334472656,0.0003,8236
775731,68.35065351,9,76232,548,0.20536848902702332,148.33363342285156,0.23810365796089172,143.86,273.0369873046875,0.0003,8327
776404,75.13887928,9,76905,552,0.2092330902814865,150.7938995361328,0.4832916855812073,141.6,269.1099853515625,0.0003,8399
777012,41.591877559999986,9,77513,556,0.2054757922887802,207.91598510742188,-0.010033443570137024,140.18,264.056396484375,0.0003,8465
777594,-19.969218110000014,9,78095,560,0.20650283992290497,123.92381286621094,0.3457159399986267,142.95,283.8629455566406,0.0003,8529
778230,-27.87598201000001,9,78731,564,0.20917198061943054,189.760986328125,0.28551575541496277,144.17,468.9426574707031,0.0003,8597
778513,16.678118100000002,9,79014,568,0.21048836410045624,122.46055603027344,0.06812286376953125,141.56,312.48486328125,0.0003,8631
779110,-1.002272239999993,9,79611,572,0.20925241708755493,208.04100036621094,-0.007208291441202164,141.74,277.52294921875,0.0003,8696
779924,8.756429910000016,9,80425,576,0.200100377202034,110.20025634765625,0.16496673226356506,143.58,346.53125,0.0003,8782
780585,0.6352493000000078,9,81086,580,0.20378106832504272,186.52084350585938,0.029376119375228882,145.91,282.29852294921875,0.0003,8854
781243,66.01431253000001,9,81744,584,0.20154276490211487,174.01165771484375,0.12318915128707886,147.71,316.9134521484375,0.0003,8924
781759,62.95908098999998,9,82260,588,0.20040813088417053,176.62359619140625,-0.12096971273422241,144.28,299.8614807128906,0.0003,8981
782235,42.66161933999998,9,82736,592,0.20343714952468872,172.99249267578125,0.5021499991416931,143.82,344.3899230957031,0.0003,9034
782657,19.318830759999994,9,83158,596,0.20659634470939636,143.0797119140625,-0.22501671314239502,144.78,816.4871826171875,0.0003,9081
783305,0.8865762800000061,9,83806,600,0.20237991213798523,195.6370849609375,0.04239775240421295,143.88,314.8880310058594,0.0003,9151
783635,-12.558717389999986,9,84136,604,0.20476104319095612,247.93272399902344,-0.0544155091047287,141.84,285.79571533203125,0.0003,9189
784259,-16.20023103,9,84760,608,0.20211540162563324,159.76406860351562,-0.3546362817287445,143.12,281.78900146484375,0.0003,9257
784630,10.930191740000003,9,85131,612,0.20690621435642242,208.53916931152344,-0.002412766218185425,139.77,225.50570678710938,0.0003,9299
785548,-41.77015524999999,9,86049,616,0.2016800343990326,181.37326049804688,0.06977881491184235,141.11,282.2950439453125,0.0003,9396
786137,-4.243885619999981,9,86638,620,0.2051282823085785,175.77813720703125,0.4354076385498047,140.58,445.5457763671875,0.0003,9460
786870,-5.714242119999991,9,87371,624,0.21040382981300354,155.3750762939453,0.07550372183322906,142.66,276.46148681640625,0.0003,9538
787372,-6.677719459999995,9,87873,628,0.2145933210849762,194.1605224609375,-0.4834110140800476,143.12,314.476806640625,0.0003,9594
787989,26.098072580000004,9,88490,632,0.2171064019203186,187.24156188964844,-0.44823718070983887,145.49,292.6305236816406,0.0003,9660
788857,20.871496309999984,9,89358,636,0.21998079121112823,228.94235229492188,-0.15906812250614166,147.9,307.614013671875,0.0003,9752
789701,-51.143440659999996,9,90202,640,0.21925239264965057,136.30213928222656,-0.056852251291275024,151.45,603.677978515625,0.0003,9842
790255,-56.52139770999995,9,90756,644,0.21464577317237854,220.06045532226562,0.05066677927970886,153.79,344.1658935546875,0.0003,9902
